"MADRID","TORREJÓN DE VELASCO","TORREJON DE VELASCO","28990","CARRETERA M-404 KM. 31","I","-3.725222","40.182444","22/11/2021 00:40","1.529","","","","","1.429","1.489","","","","","","","","CEPSA","No Low cost","P","dm","L-V: 07:00-23:00; S: 08:00-22:00; D: 09:00-22:00","L-V: 07:00-23:00 (A); S: 08:00-22:00 (A); D: 09:00-22:00 (A)"
"HUELVA","ISLA CRISTINA","REDONDELA (LA)","21430","CARRETERA HU - 3400, P.K. 3,800 KM. ","I","-7.266778","37.226389","22/11/2021 15:25","1.487","","","1.607","","1.384","1.444","0.934","","","","","","","BP OIL ESPAÑA, S.A.U.","No Low cost","P","dm","L-S: 06:00-22:00; D: 08:00-22:00","L-S: 06:00-22:00 (P); D: 08:00-22:00 (P)"
"ZAMORA","CASTROGONZALO","CASTROGONZALO","49660","CARRETERA PALENCIA KM. 2","N","-5.598861","41.988389","19/11/2021 00:00","1.519","","","1.689","","1.319","1.369","","","","","","","","PASO HONROSO","Low Cost","P","dm","L-D: 07:00-23:00","L-D: 07:00-23:00 (A)"
"SALAMANCA","SANTA MARTA DE TORMES","SANTA MARTA DE TORMES","37900","AVENIDA PADRES PAULES, 35","D","-5.648583","40.951611","22/11/2021 13:53","1.447","","","","","1.297","","","","","","","","","BALLENOIL","Low Cost","P","dm","L-D: 24H","L-D: 24H (D)"
"CORUÑA (A)","CORUÑA (A)","CORUÑA (A)","15008","CALLE ISAAC PERAL, 44","D","-8.417306","43.354444","22/11/2021 15:00","1.449","","","","","1.309","","","","","","","","","AUTONETOIL","Low Cost","P","dm","L-D: 24H","L-X: 00:00-08:00 (D), 08:00-21:00 (A), 21:00-23:59 (D); J: 00:00-09:00 (D), 09:00-14:00 (A), 14:00-16:00 (D), 16:00-21:00 (A), 21:00-23:59 (D); V: 00:00-08:00 (D), 08:00-21:00 (A), 21:00-23:59 (D); S: 00:00-09:00 (D), 09:00-21:00 (A), 21:00-23:59 (D); D: 00:00-09:00 (D), 09:00-15:00 (A), 15:00-23:59 (D)"
"BARCELONA","SANT VICENÇ DELS HORTS","SANT VICENÇ DELS HORTS","08620","CARRETERA TORRELLAS 68 KM. ","D","2.005917","41.386417","20/11/2021 00:00","1.589","","","1.729","","1.449","1.529","","","","","","","","REPSOL","No Low cost","P","dm","L-D: 06:00-22:00","L-D: 06:00-22:00 (A)"
"MURCIA","LORCA","PACA (LA)","30812","CR MU-3211, 32,1","D","-1.835","37.868583","16/11/2021 00:00","1.519","","","1.619","","1.399","1.479","0.995","","","","","","","REPSOL","No Low cost","P","dm","L-V: 07:00-20:00; S: 08:00-14:00","L-V: 07:00-20:00 (A); S: 08:00-14:00 (A)"
"CUENCA","TÉBAR","TEBAR","16710","ENLACE CU-V-8307/A3 KM 186,400 km 1,6","I","-2.156278","39.484889","22/11/2021 09:41","1.489","","","","","1.379","","","","","","","","","DILAMOR","Low Cost","P","dm","L-D: 07:00-23:30","L-D: 07:00-23:30 (A)"
"RIOJA (LA)","LOGROÑO","LOGROÑO","26006","AVENIDA ARAGON, 7","D","-2.407111","42.460056","16/11/2021 22:00","1.569","","","1.669","","1.439","1.499","","","","","","","","REPSOL","No Low cost","P","dm","L-D: 24H","L-D: 24H (A)"
"VALENCIA / VALÈNCIA","ALBAL","ALBAL","46470","TRAVESSIA CAMI DE LA FOIA, S/N","N","-0.419278","39.396028","19/11/2021 19:00","1.415","","","1.509","","1.289","","0.899","","","","","","","E.S.+AGRICOLA+S.C.J.+DE+ALBAL%2C+C.V.","Low Cost","P","dm","L-V: 07:00-21:00; S: 08:00-14:00; D: 08:30-14:00","L-V: 07:00-21:00 (A); S: 08:00-14:00 (A); D: 08:30-14:00 (A)"
"VALLADOLID","ÍSCAR","ISCAR","47420","CR C-112, 21","I","-4.539611","41.359028","20/11/2021 00:00","1.529","","","1.639","","1.409","1.499","","","","","","","","REPSOL","No Low cost","P","OM","L-D: 07:00-23:00","L-D: 07:00-23:00 (P)"
"ARABA/ÁLAVA","VITORIA-GASTEIZ","VITORIA-GASTEIZ","01015","POLIGONO P.I. JUNDIZ - C/ LERMANDABIDE, 8","N","-2.741917","42.845639","22/11/2021 10:56","1.519","","","","","1.379","","","","","","","","","AVIA","No Low cost","P","dm","L-S: 06:00-22:30","L-S: 06:00-22:30 (A)"
"SEVILLA","VALENCINA DE LA CONCEPCIÓN","VALENCINA CONCEPCION","41907","CARRETERA EXTREMADURA (N-630) KM. 809","D","-6.034806","37.423139","22/11/2021 14:14","1.498","","","1.598","","1.349","","","","","","","","","E.S. MARIA AUXILIADORA","Low Cost","P","dm","L-D: 24H","L-D: 24H (A)"
"GRANADA","GRANADA","GRANADA","18015","AVENIDA ANDALUCIA, S/N","D","-3.641139","37.197639","22/11/2021 08:42","1.439","","","","","1.298","","","","","","","","","PETROL & GO","Low Cost","P","dm","L-D: 24H","L-D: 24H (A)"
"BARCELONA","SITGES","SITGES","08870","AVENIDA CAMI PLA, 8","N","1.812889","41.2475","22/11/2021 15:46","1.539","","","","","1.419","1.439","","","","","","","","NIEVES","Low Cost","P","dm","L-D: 24H","L-V: 00:00-07:30 (D), 07:30-21:30 (A), 21:30-23:59 (D); S-D: 00:00-09:00 (D), 09:00-21:00 (A), 21:00-23:59 (D)"
"CÁDIZ","JEREZ DE LA FRONTERA","JEREZ DE LA FRONTERA","11408","AVENIDA ALCALDE CANTOS ROPERO, S/N","I","-6.130444","36.659917","20/11/2021 00:00","1.509","","1.549","1.629","","1.379","1.449","1.006","","","","","","","REPSOL","No Low cost","P","OM","L-V: 00:00-22:00; S-D: 00:00-06:00","L-V: 00:00-06:00 (D), 06:00-22:00 (A); S-D: 00:00-06:00 (D)"
"PALMAS (LAS)","TEGUISE","TEGUISE","35110","CARRETERA C-ARRECIFE-TAHICHE KM 2 KM. 2","I","-13.543806","28.987667","22/11/2021 11:26","1.257","","","1.327","","1.169","1.249","","","","","","","","TGAS TAHICHE II","Low Cost","P","dm","L-D: 06:30-22:30","L-D: 06:30-22:30 (P)"
"ÁVILA","NAVAS DEL MARQUÉS (LAS)","NAVAS DEL MARQUES (LAS)","05230","POLIGONO AVDA PARALELA, ","D","-4.333028","40.595167","20/11/2021 00:00","1.559","","","1.669","","1.449","1.499","","","","","","","","REPSOL","No Low cost","P","OM","L-V: 06:00-22:00; S-D: 07:00-22:00","Sin datos"
"BARCELONA","VILAFRANCA DEL PENEDÈS","VILAFRANCA DEL PENEDES","08720","AVENIDA RONDA MAR, 24","D","1.700083","41.334722","22/11/2021 10:16","1.489","","","","","1.369","","","","","","","","","BY ENERGY","Low Cost","P","dm","L-D: 24H","L-D: 24H (A)"
"HUELVA","SAN JUAN DEL PUERTO","SAN JUAN DEL PUERTO","21610","CTRA. SEVILLA-HUELVA km 626","N","-6.839167","37.325833","20/11/2021 00:00","","","","","","1.444","","","","","","","","","IDS","Low Cost","P","OM","L-D: 24H","L-V: 00:00-09:00 (D), 09:00-14:00 (A), 14:00-16:00 (D), 16:00-20:00 (A), 20:00-23:59 (D); S: 00:00-09:00 (D), 09:00-13:00 (A), 13:00-23:59 (D); D: 24H (D)"
"MADRID","MADRID","MADRID","28045","PASEO SANTA MARIA DE LA CABEZA, 90","N","-3.702472","40.397722","22/11/2021 14:55","1.569","","","1.694","","1.439","1.507","","","","","","","","SHELL","No Low cost","P","OM","L-D: 24H","L-D: 24H (A)"
"MADRID","GALAPAGAR","GALAPAGAR","28260","CR M-505, 17,4","I","-4.015361","40.576056","20/11/2021 00:00","1.529","","","1.679","","1.409","1.499","","","","","0.849","","","REPSOL","No Low cost","P","OM","L-D: 07:00-23:00","L-D: 07:00-23:00 (A)"
